Kommune,School age,High school age
Copenhagen,7954,1817
Frederiksberg,914,235
Dragør,75,26
Tårnby,451,128
Albertslund,504,126
Ballerup,841,192
Brøndby,966,192
Gentofte,1114,248
Gladsaxe,1416,268
Glostrup,431,102
Herlev,432,94
Hvidovre,656,145
Høje-Taastrup,1748,369
Ishøj,688,155
Lyngby-Taarbæk,709,167
Rødovre,782,176
Vallensbæk,459,86
Allerød,246,60
Egedal,446,98
Fredensborg,762,144
Frederikssund,458,135
Furesø,631,139
Gribskov,380,117
Halsnæs,403,103
Helsingør,498,190
Hillerød,602,157
Hørsholm,255,68
Rudersdal,591,177
Bornholm,390,95
Christiansø,1,0
Greve,696,160
Køge,680,191
Lejre,265,73
Roskilde,868,228
Solrød,233,55
Faxe,462,103
Guldborgsund,533,143
Holbæk,836,249
Kalundborg,453,128
Lolland,482,126
Næstved,804,227
Odsherred,253,85
Ringsted,501,120
Slagelse,891,230
Sorø,261,64
Stevns,191,55
Vordingborg,374,103
Assens,474,119
Faaborg-Midtfyn,530,137
Kerteminde,248,55
Langeland,124,27
Middelfart,351,116
Nordfyns,322,111
Nyborg,292,165
Odense,2081,551
Svendborg,410,132
Ærø,68,20
Billund,698,110
Esbjerg,1333,358
Fanø,26,4
Fredericia,678,212
Haderslev,862,243
Kolding,1276,329
Sønderborg,1310,437
Tønder,697,180
Varde,704,160
Vejen,671,154
Vejle,1974,436
Aabenraa,1268,340
Favrskov,525,113
Hedensted,711,148
Horsens,1354,327
Norddjurs,404,270
Odder,200,65
Randers,990,261
Samsø,58,7
Silkeborg,1073,284
Skanderborg,506,124
Syddjurs,365,89
Aarhus,3656,1023
Herning,1313,319
Holstebro,670,220
Ikast-Brande,789,267
Lemvig,263,48
Ringkøbing-Skjern,1077,228
Skive,450,109
Struer,291,180
Viborg,1205,335
Brønderslev,415,109
Frederikshavn,662,161
Hjørring,694,173
Jammerbugt,334,102
Læsø,3,1
Mariagerfjord,466,110
Morsø,190,46
Rebild,269,72
Thisted,480,128
Vesthimmerlands,566,152
Aalborg,2063,545
